model,count,mean,std,min,max
deepmath base,60,1841.7333333333333,539.356863299894,765,3513
deepmath taco,60,1829.5,700.9089135435115,665,3650
llama 100,60,2056.266666666667,848.2228254308658,438,4041
llama 300,60,1995.7833333333333,798.7449496759078,676,3860
llama 700,60,2193.266666666667,768.247000064006,760,3932
llama base,60,2179.1,845.9276865355913,652,4278
llama taco,60,2035.9,765.7272980084061,652,4066
llama8b base,60,2551.133333333333,965.1660516950609,800,4370
llama8b taco,60,2479.8166666666666,933.3693928163317,690,4936
mistral base,60,1733.5333333333333,601.2529140608523,759,3446
mistral taco,60,1445.5333333333333,968.3118013495283,123,4251
qwen 500,60,2143.3333333333335,439.0506579268373,1100,3205
qwen base,60,2036.35,520.6246842634403,1050,3357
qwen taco,60,1675.9166666666667,766.7875159604312,407,4175
