model,count,mean,std,min,max
deepmath base,60,434.48333333333335,841.0059652676781,26,4764
deepmath taco,60,452.4166666666667,857.6551258937076,52,4851
llama 100,60,734.6,460.62316669368175,218,3662
llama 300,60,650.4333333333333,275.464930043038,218,1796
llama 700,60,747.9333333333333,502.2460018035819,218,3383
llama base,60,878.1666666666666,503.567852350509,273,3875
llama taco,60,677.6166666666667,258.9836780189554,212,1389
llama8b base,60,821.1833333333333,545.8572636320662,267,3600
llama8b taco,60,840.1666666666666,733.2917926087437,263,3653
mistral base,60,576.5166666666667,312.65459859499725,233,2053
mistral taco,60,605.0833333333334,1034.4219427533997,51,4948
qwen 500,60,823.0,222.11670470379883,419,1769
qwen base,60,760.2166666666667,175.16220973005028,375,1290
qwen taco,60,718.4833333333333,184.6701586995698,328,1178
