model,count,mean,std,min,max
deepmath base,60,1228.5833333333333,661.3968088073641,26,3554
deepmath taco,60,1242.1666666666667,700.1164592388719,65,3798
llama 100,60,2071.7,987.4139361766838,692,4868
llama 300,60,1999.8833333333334,788.9790246973803,572,4005
llama 700,60,2135.2,850.3970319000454,642,4342
llama base,60,2208.7,867.018548078335,833,4366
llama taco,60,2015.8666666666666,859.2375900518971,818,3957
llama8b base,60,2441.9666666666667,850.4844475240131,793,4568
llama8b taco,60,2295.65,806.5789825458792,955,3673
mistral base,60,1581.8666666666666,601.3140544593942,297,2927
mistral taco,60,1090.5166666666667,800.7188611696171,127,3561
qwen 500,60,1859.9,708.948701259089,0,3130
qwen base,60,1759.45,683.2240475514182,0,3920
qwen taco,60,1611.7666666666667,716.3936605220333,0,3085
