model,count,mean,std,min,max
deepmath base,60,610.5,196.64141846932228,222,1374
deepmath taco,60,616.1833333333333,196.94131378013688,222,1336
llama 100,60,670.7,338.0699105315048,217,2141
llama 300,60,661.7833333333333,420.76532739100935,236,2969
llama 700,60,646.55,329.4338968182863,285,1690
llama base,60,720.6666666666666,537.4403133330065,236,3605
llama taco,60,668.3833333333333,486.20979958145597,238,3653
llama8b base,60,803.8666666666667,596.0527353152874,287,3926
llama8b taco,60,791.85,582.0997009657425,261,3944
mistral base,60,630.8,268.1036859886077,205,1485
mistral taco,60,500.28333333333336,638.5825694634946,100,3268
qwen 500,60,634.1666666666666,277.3666829959182,272,1438
qwen base,60,613.6833333333333,235.52893892990375,249,1402
qwen taco,60,562.1,244.3506580056551,214,1308
