model,count,mean,std,min,max
deepmath base,600,388.45166666666665,413.86435035897,35,3647
deepmath taco,600,385.64166666666665,403.6998049104021,35,3647
llama 100,600,1100.65,929.3179635062977,129,4355
llama 300,600,1138.29,992.9468708750909,61,4940
llama 700,600,1145.8066666666666,994.6707071429735,61,4690
llama base,600,1281.5483333333334,1055.309402128553,129,4775
llama taco,600,1162.2933333333333,1013.3463089480582,129,4733
llama8b base,600,1495.3966666666668,1177.5412909144927,148,4531
llama8b taco,600,1432.3516666666667,1168.723618379249,119,4674
mistral base,600,953.38,629.6295401766861,50,3590
mistral taco,600,567.435,626.0754719701699,50,4432
qwen 500,600,1048.5066666666667,500.4453408590541,219,3648
qwen base,600,959.1033333333334,506.8445833866659,191,3370
qwen taco,600,852.8283333333334,610.984893236727,145,4284
