model,count,mean,std,min,max
deepmath base,60,224.76666666666668,441.2694847732963,28,2982
deepmath taco,60,266.96666666666664,500.8144880216919,53,3503
llama 100,60,463.98333333333335,241.9138025270723,142,1364
llama 300,60,528.6333333333333,299.99101493136095,170,1529
llama 700,60,557.4833333333333,315.97894650240283,151,1690
llama base,60,571.7833333333333,287.8147998966489,183,1288
llama taco,60,476.71666666666664,247.21219127325475,172,1266
llama8b base,60,749.0166666666667,383.03885237581125,264,2133
llama8b taco,60,1004.35,1132.7812454309085,150,4392
mistral base,60,339.26666666666665,247.40181183082538,157,1901
mistral taco,60,1049.2,651.5087782490679,142,4295
qwen 500,60,510.7,161.85747025690875,285,1028
qwen base,60,506.21666666666664,145.684485134964,313,1051
qwen taco,60,489.1666666666667,150.46956634309885,279,1102
